Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
DAVA,110.50,110.87,04/22/22,-0.33,,,,,
DQ,40.61,40.70,04/22/22,-0.22,,,,,
EOG,109.30,117.04,04/22/22,-6.61,,,,,
EPAM,276.25,282.49,04/22/22,-2.21,,,,,
EXPD,99.04,99.51,04/22/22,-0.47,,,,,
FND,80.18,80.47,04/22/22,-0.36,,,,,
FTNT,318.20,309.96,04/22/22,2.66,,,,,
GNK,20.18,23.90,04/22/22,-15.56,,,,,
GNRC,241.44,242.32,04/22/22,-0.36,,,,,
GOOGL,2421.94,2417.46,04/22/22,0.19,,,,,
GRBK,19.67,19.70,04/22/22,-0.15,,,,,
LULU,361.57,369.16,04/22/22,-2.06,,,,,
MPWR,410.42,409.86,04/22/22,0.14,,,,,
MRNA,146.62,142.80,04/22/22,2.68,,,,,
NVDA,194.45,198.97,04/22/22,-2.27,,,,,
PAYC,304.45,302.90,04/22/22,0.51,,,,,
ALGN,365.83,360.57,04/23/22,1.46,,,,,
ANET,115.49,117.70,04/23/22,-1.88,,,,,
CNQ,60.34,63.87,04/23/22,-5.53,,,,,
CTRA,27.32,28.96,04/23/22,-5.66,,,,,
DAVA,110.50,108.82,04/23/22,1.54,,,,,
DQ,40.61,41.28,04/23/22,-1.62,,,,,
EOG,109.30,116.12,04/23/22,-5.87,,,,,
EPAM,276.25,276.76,04/23/22,-0.18,,,,,
EXPD,99.04,99.43,04/23/22,-0.39,,,,,
FND,80.18,79.50,04/23/22,0.86,,,,,
FTNT,318.20,304.29,04/23/22,4.57,,,,,
GNK,20.18,23.60,04/23/22,-14.49,,,,,
GNRC,241.44,237.98,04/23/22,1.45,,,,,
GOOGL,2421.94,2392.71,04/23/22,1.22,,,,,
GRBK,19.67,19.59,04/23/22,0.41,,,,,
LULU,361.57,363.66,04/23/22,-0.57,,,,,
MPWR,410.42,404.21,04/23/22,1.54,,,,,
MRNA,146.62,140.34,04/23/22,4.47,,,,,
NVDA,194.45,195.15,04/23/22,-0.36,,,,,
PAYC,304.45,295.97,04/23/22,2.87,,,,,
ALGN,365.83,365.83,04/25/22,,,,,,
ANET,115.49,115.49,04/25/22,,,,,,
CNQ,60.34,60.34,04/25/22,,,,,,
CTRA,27.32,27.32,04/25/22,,,,,,
DAVA,110.50,110.50,04/25/22,,,,,,
DQ,40.61,40.61,04/25/22,,,,,,
EOG,109.30,109.30,04/25/22,,,,,,
EPAM,276.25,276.25,04/25/22,,,,,,
EXPD,99.04,99.04,04/25/22,,,,,,
FND,80.18,80.18,04/25/22,,,,,,
FTNT,318.20,318.20,04/25/22,,,,,,
GNK,20.18,20.18,04/25/22,,,,,,
GNRC,241.44,241.44,04/25/22,,,,,,
GOOGL,2421.94,2421.94,04/25/22,,,,,,
GRBK,19.67,19.67,04/25/22,,,,,,
LULU,361.57,361.57,04/25/22,,,,,,
MPWR,410.42,410.42,04/25/22,,,,,,
MRNA,146.62,146.62,04/25/22,,,,,,
NVDA,194.45,194.45,04/25/22,,,,,,
PAYC,304.45,304.45,04/25/22,,,,,,
